incident_id,incident_label,regulation_id,regulation_label,classification,cosine,linked_by_threshold
CASE_pdns2-surabaya-ransomware-2024,PDNS2-SURABAYA-RANSOMWARE-2024 - Pada 20 Juni 2024 PDNS 2 Surabaya dienkripsi ...,Council_of_Europe_Framework_Convention_on_AI_CETS225_Article_1,Council_of_Europe_Framework_Convention_on_AI_CETS225 - Article 1,Intl: Binding Law,0.2760,0
CASE_bkn-asn-leak-topiax-2024,BKN-ASN-LEAK-TOPIAX-2024 - Pada 10 Agustus 2024 pengguna BreachForums 'T...,Council_of_Europe_Framework_Convention_on_AI_CETS225_Article_1,Council_of_Europe_Framework_Convention_on_AI_CETS225 - Article 1,Intl: Binding Law,0.1314,0
CASE_bkn-teacher-intrusion-2024,BKN-TEACHER-INTRUSION-2024 - Pada September 2024 polisi menangkap seorang ...,Council_of_Europe_Framework_Convention_on_AI_CETS225_Article_1,Council_of_Europe_Framework_Convention_on_AI_CETS225 - Article 1,Intl: Binding Law,0.0634,0
CASE_kpu-dpt-jimbo-2023,KPU-DPT-JIMBO-2023 - Sekitar 27-28 November 2023 'Jimbo' menawarka...,Council_of_Europe_Framework_Convention_on_AI_CETS225_Article_1,Council_of_Europe_Framework_Convention_on_AI_CETS225 - Article 1,Intl: Binding Law,0.2084,0
CASE_bjorka-sim-registration-1-3b-2022,BJORKA-SIM-REGISTRATION-1-3B-2022 - Pada 31 Agustus-1 September 2022 'Bjorka' men...,Council_of_Europe_Framework_Convention_on_AI_CETS225_Article_1,Council_of_Europe_Framework_Convention_on_AI_CETS225 - Article 1,Intl: Binding Law,0.2474,0
CASE_immigration-passport-leak-2023,IMMIGRATION-PASSPORT-LEAK-2023 - Pada 5 Juli 2023 peneliti Teguh Aprianto mela...,Council_of_Europe_Framework_Convention_on_AI_CETS225_Article_1,Council_of_Europe_Framework_Convention_on_AI_CETS225 - Article 1,Intl: Binding Law,0.1441,0
CASE_npwp-tax-bjorka-2024,NPWP-TAX-BJORKA-2024 - Pada 18 September 2024 'Bjorka' menawarkan ~6...,Council_of_Europe_Framework_Convention_on_AI_CETS225_Article_1,Council_of_Europe_Framework_Convention_on_AI_CETS225 - Article 1,Intl: Binding Law,0.2015,0
CASE_bais-tni-intelligence-leak-2024,BAIS-TNI-INTELLIGENCE-LEAK-2024 - Sekitar 24-27 Juni 2024 'MoonzHaxor' mengklai...,Council_of_Europe_Framework_Convention_on_AI_CETS225_Article_1,Council_of_Europe_Framework_Convention_on_AI_CETS225 - Article 1,Intl: Binding Law,0.2681,0
CASE_inafis-polri-fingerprint-leak-2024,INAFIS-POLRI-FINGERPRINT-LEAK-2024 - Pada 22 Juni 2024 'MoonzHaxor' mengunggah dat...,Council_of_Europe_Framework_Convention_on_AI_CETS225_Article_1,Council_of_Europe_Framework_Convention_on_AI_CETS225 - Article 1,Intl: Binding Law,0.2349,0
CASE_pedulilindungi-jokowi-cert-2021,PEDULILINDUNGI-JOKOWI-CERT-2021 - Awal September 2021 sertifikat vaksin Preside...,Council_of_Europe_Framework_Convention_on_AI_CETS225_Article_1,Council_of_Europe_Framework_Convention_on_AI_CETS225 - Article 1,Intl: Binding Law,0.3061,0
CASE_kemenkes-patient-records-2022,KEMENKES-PATIENT-RECORDS-2022 - Pada 6 Januari 2022 Kemenkes mengakui menyeli...,Council_of_Europe_Framework_Convention_on_AI_CETS225_Article_1,Council_of_Europe_Framework_Convention_on_AI_CETS225 - Article 1,Intl: Binding Law,0.1394,0
CASE_bpjs-kesehatan-279m-2021,BPJS-KESEHATAN-279M-2021 - Pada Mei 2021 akun RaidForums 'Kotz' menjual ...,Council_of_Europe_Framework_Convention_on_AI_CETS225_Article_1,Council_of_Europe_Framework_Convention_on_AI_CETS225 - Article 1,Intl: Binding Law,0.1320,0
CASE_ehac-covid-app-leak-2021,EHAC-COVID-APP-LEAK-2021 - Pada 15 Juli 2021 tim vpnMentor menemukan bas...,Council_of_Europe_Framework_Convention_on_AI_CETS225_Article_1,Council_of_Europe_Framework_Convention_on_AI_CETS225 - Article 1,Intl: Binding Law,0.2583,0
