source_doc,source_prov,kind,cited_ref,cited_doc,cited_prov,cited_in_corpus,count,source_text
ASEAN_Guide_AI_Governance_Ethics_2024,Bagian 9,named,UNESCO Recommendation on AI Ethics,UNESCO_Recommendation_on_AI_Ethics_2021,,True,1,"Also, the ASEAN Digital Masterplan 2025 (ADM2025) developed by ASEAN Member States (“AMS”) envisions ASEAN as a leading digital community and economic bloc, powered by secure and transformative digital services, technologies, and ecosystem. In that context, the ADM2025 has identified Enabling Action (EA) 2.7 that suggests the development and adoption of a regional policy to deliver best practice guidance on AI governance and ethics. In recent years, governments and international organisations have begun issuing principles, frameworks and recommendations on AI ethics and governance. Examples include Singapore’s Model AI Governance Framework1 and OECD’s Recommendation of the Council on AI2. However, there has not yet been an intergovernmental common standard for AI that defines the principles of AI governance and provides guidance for policymakers in the region to utilise AI systems in a responsible and ethical manner. In the process of drafting this Guide, existing AI governance frameworks and guidelines such as UNESCO’s Recommendation on the Ethics of Artificial Intelligence3 and EU’"
ASEAN_Guide_AI_Governance_Ethics_2024,Bagian 10,named,OECD AI Principles,OECD_AI_Principles_2024,,True,1,"s Ethics Guidelines for Trustworthy AI were referenced4. The ASEAN Guide on AI Governance and Ethics aims to empower organisations and governments in the region to design, develop, and deploy traditional AI systems responsibly and increase users’ trust in AI. 1 Infocomm Media Development Authority, “Model Artificial Intelligence Governance Framework Second Edition” (21 January 2020) < https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/resource-for-organisation/ai/sgmodelaigovframework2.pdf > 2 Organisation for Economic Co-operation and Development, “Recommendation of the Council on Artificial Intelligence” (22 May 2019) < https://legalinstruments.oecd.org/en/instruments/OECD-LEGAL-0449 > 3 United Nations Educational, Scientific and Cultural Organisation, “Recommendation on the Ethics of Artificial Intelligence” (23 November 2021) < https://unesdoc.unesco.org/ark:/48223/pf0000381137 > 4 European Commission “Ethics Guidelines for Trustworthy AI” < https://digital-strategy.ec.europa.eu/en/library/ethics-guidelines-trustworthy-ai > (8 April 2019) 7"
ASEAN_Guide_AI_Governance_Ethics_2024,Bagian 10,named,UNESCO Recommendation on AI Ethics,UNESCO_Recommendation_on_AI_Ethics_2021,,True,1,"s Ethics Guidelines for Trustworthy AI were referenced4. The ASEAN Guide on AI Governance and Ethics aims to empower organisations and governments in the region to design, develop, and deploy traditional AI systems responsibly and increase users’ trust in AI. 1 Infocomm Media Development Authority, “Model Artificial Intelligence Governance Framework Second Edition” (21 January 2020) < https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/resource-for-organisation/ai/sgmodelaigovframework2.pdf > 2 Organisation for Economic Co-operation and Development, “Recommendation of the Council on Artificial Intelligence” (22 May 2019) < https://legalinstruments.oecd.org/en/instruments/OECD-LEGAL-0449 > 3 United Nations Educational, Scientific and Cultural Organisation, “Recommendation on the Ethics of Artificial Intelligence” (23 November 2021) < https://unesdoc.unesco.org/ark:/48223/pf0000381137 > 4 European Commission “Ethics Guidelines for Trustworthy AI” < https://digital-strategy.ec.europa.eu/en/library/ethics-guidelines-trustworthy-ai > (8 April 2019) 7"
ASEAN_Guide_AI_Governance_Ethics_2024,Bagian 58,named,NIST AI Risk Management Framework,,,False,1,"To determine the level of risk and the category of human involvement required in AI-augmented decision- making, developers and deployers can evaluate AI solutions along two axes – the probability and the severity of harm to users and individuals involved in the AI system lifecycle. The definition of “harm” and the computation of probability and severity will depend on the context, varying from sector to sector. m r a H f o y t i r e v e S High severity Low probability Low severity Low probability High severity High probability Low severity High probability Probability of Harm 11 Personal Data Protection Commission Singapore, “Implementation and Self-Assessment Guide for Organisations” (January 2020) < https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/resource-for-organisation/ai/sgisago.pdf > 12 National Institute of Standards and Technology, “NIST AI RMF Playbook” < https://airc.nist.gov/AI_RMF_Knowledge_Base/Playbook > 24 ASEAN Guide on AI Governance and Ethics"
EU_AI_Act_2024,Article 9,named,GDPR (EU 2016/679),,,False,1,"(1) of Regulation (EU) 2016/679, the use of remote biometric identification for purposes other than law enforcement has already been subject to prohibition decisions by national data protection authorities. In accordance with Article 6a of Protocol No 21 on the position of the United Kingdom and Ireland in respect of the area of freedom, security and justice, as annexed to the TEU and to the TFEU, Ireland is not bound by the rules laid down in"
G7_Hiroshima_Code_of_Conduct_for_AI,Bagian 1,named,OECD AI Principles,OECD_AI_Principles_2024,,True,1,"Hiroshima Process International Code of Conduct for Organizations Developing Advanced AI Systems On the basis of the International Guiding Principles for Organizations Developing Advanced AI systems, the International Code of Conduct for Organizations Developing Advanced AI Systems aims to promote safe, secure, and trustworthy AI worldwide and will provide voluntary guidance for actions by organizations developing the most advanced AI systems, including the most advanced foundation models and generative AI systems (henceforth ""advanced AI systems""). Organizations should follow these actions in line with a risk-based approach. Organizations that may endorse this Code of Conduct may include, among others, entities from academia, civil society, the private sector, and/or the public sector. This non-exhaustive list of actions is discussed and elaborated as a living document to build on the existing OECD AI Principles in response to the recent developments in advanced AI systems and is meant to help seize the benefits and address the risks and challenges"
G7_Hiroshima_Code_of_Conduct_for_AI,Bagian 1,named,"UNGA Res 78/265 (Safe, Secure, Trustworthy AI)",UNGA_Res_78_265_Safe_Secure_Trustworthy_AI,,True,1,"Hiroshima Process International Code of Conduct for Organizations Developing Advanced AI Systems On the basis of the International Guiding Principles for Organizations Developing Advanced AI systems, the International Code of Conduct for Organizations Developing Advanced AI Systems aims to promote safe, secure, and trustworthy AI worldwide and will provide voluntary guidance for actions by organizations developing the most advanced AI systems, including the most advanced foundation models and generative AI systems (henceforth ""advanced AI systems""). Organizations should follow these actions in line with a risk-based approach. Organizations that may endorse this Code of Conduct may include, among others, entities from academia, civil society, the private sector, and/or the public sector. This non-exhaustive list of actions is discussed and elaborated as a living document to build on the existing OECD AI Principles in response to the recent developments in advanced AI systems and is meant to help seize the benefits and address the risks and challenges"
G7_Hiroshima_Code_of_Conduct_for_AI,Bagian 15,named,Sustainable Development Goals (2030 Agenda),,,False,1,"such as prioritizing research on upholding democratic values, respecting human rights, protecting children and vulnerable groups, safeguarding intellectual property rights and privacy, and avoiding harmful bias, mis- and disinformation, and information manipulation. Organizations also commit to invest in developing appropriate mitigation tools, and work to proactively manage the risks of advanced AI systems, including environmental and climate impacts, so that their benefits can be realized. Organizations are encouraged to share research and best practices on risk mitigation. 9 Prioritize the development of advanced AI systems to address the world’s greatest challenges, notably but not limited to the climate crisis, global health and education These efforts are undertaken in support of progress on the United Nations Sustainable Development Goals, and to encourage AI development for global benefit. Organizations should prioritize responsible stewardship of trustworthy and human-centric AI and also support digital literacy initiatives that promote the education and training of the 7"
ISO_IEC_42001_AI_Management_System,Bagian 4,named,GDPR (EU 2016/679),,,False,1,"AI systems, particularly in algorithmic decision-making processes, can lead to ethical challenges. Biased datasets, unfair outcomes and privacy violations are among the primary concerns. ISO/IEC 42001:2023 provides companies with a framework for designing and implementing AI systems in accordance with ethical principles. This framework specifically emphasizes the following aspects. • Algorithmic Transparency: Ensuring that AI models are understandable enhances the traceability of decision-making processes [1]. • Fair Decision-Making: Ensures that algorithms do not discriminate based on factors such as gender, race, or socio-economic status [2]. • Data Privacy: The protection of personal data and compliance with regulations such as GDPR are fundamental elements of ISO/IEC 42001:2023 [3]."
ISO_IEC_42001_AI_Management_System,Bagian 11,named,GDPR (EU 2016/679),,,False,1,"Data Security and Information Management: The success of AI systems largely depends on the quality and security of data. ISO/IEC 42001:2023 provides guidance for structuring data management processes. Within the scope of data privacy, data used in AI applications must be anonymized, encrypted and processed in compliance with international regulations (e.g., GDPR) [5]. Regarding information security, AI algorithms should be protected against cyberattacks and data manipulation by integrating with information security management systems (e.g., ISO/IEC 27001:2022) [6]. Transparency and accountability ensure that AI system decision-making processes are clearly documented and traceable, thereby securing user and stakeholder trust."
